State,Present in HF?,Processed?
Alabama,,
Alaska,Y,Y
Arizona,Y,Y
Arkansas,Y,Y
California,Y,Y
Colorado,Y,Y
Connecticut,Y,Y
Delaware,Y,Y
Florida,Y,Y
Georgia,Y,Y
Hawaii,Y,Y
Idaho,Y,Y
Illinois,Y,Y
Indiana,Y,Y
Iowa,Y,Y
Kansas,Y,Y
Kentucky,Y,Y
Louisiana,Y,Y
Maine,Y,Y
Maryland,Y,Y
Massachusetts,Y,Y
Michigan,Y,Y
Minnesota,Y,Y
Mississippi,Y,Y
Missouri,Y,Y
Montana,Y,Y
Nebraska,Y,Y
Nevada,Y,Y
New Hampshire,Y,Y
New Jersey,Y,Y
New Mexico,Y,Y
New York,Y,Y
North Carolina,Y,Y
North Dakota,Y,Y
Ohio,Y,Y
Oklahoma,Y,Y
Oregon,Y,Y
Pennsylvania,Y,Y
Rhode Island,Y,Y
South Carolina,Y,Y
South Dakota,Y,Y
Tennessee,Y,Y
Texas,Y,Y
Utah,Y,Y
Vermont,Y,Y
Virginia,Y,Y
Washington,Y,Y
West Virginia,Y,Y
Wisconsin,Y,Y
Wyoming,Y,Y
